salt,sugar,water,citric acid,corn syrup,natural flavor,sea salt,spices,high fructose corn syrup,natural flavors,dextrose,soybean oil,soy lecithin,garlic,xanthan gum,maltodextrin,whey,vinegar,vegetable oil,ascorbic acid
,,,,,,,,,,,,,,,,,,,
4.138223137370727889e-02,,,,,,,,,,,,,,,,,,,
1.531731787342264506e-01,1.528785987420024778e-02,,,,,,,,,,,,,,,,,,
-9.114263031974866036e-02,-2.099197361576478696e-02,1.659318228358033082e-02,,,,,,,,,,,,,,,,,
-7.882075583278749797e-02,1.923976949279871951e-01,-4.934772757764572040e-03,7.363034162985784836e-02,,,,,,,,,,,,,,,,
1.271604264145888459e-02,8.195280536075860017e-03,2.908114493336624862e-03,1.436056579831078983e-01,-3.953975946258046943e-03,,,,,,,,,,,,,,,
-1.663139223920595544e-01,-1.293363075536522189e-01,-3.913620666360875799e-02,-3.455764510644784848e-02,-8.023549337735565168e-02,-1.065050457391949687e-02,,,,,,,,,,,,,,
1.642780617485244676e-01,2.499325976029206572e-02,5.752531289988928320e-02,2.721861252584968985e-02,-2.783358426340217309e-02,6.559087953856296282e-02,-2.039980006676269178e-02,,,,,,,,,,,,,
-5.093446996166626356e-02,-3.195392366658869610e-02,6.782017190322869871e-02,1.239720438425410132e-01,2.316934741258749320e-01,7.199455795849839246e-02,-5.819540195647013303e-02,1.594014511827648861e-02,,,,,,,,,,,,
-4.214103858533374894e-03,-7.296492917250807508e-02,3.780222793849330465e-02,1.002331341236720047e-01,-1.623323700959205390e-02,-9.891663189484345420e-02,-1.046415408398659701e-02,3.879201372882701976e-02,5.293668634463095934e-02,,,,,,,,,,,
9.184561899324983347e-02,4.655295527641329506e-02,4.209750992977637218e-02,2.275843121402793684e-03,7.688504882011142072e-02,-2.038407736730006234e-02,-5.522649390631462207e-02,7.359581711522714120e-02,-3.651573793136682344e-02,-3.035123042962087694e-03,,,,,,,,,,
1.136044245393254548e-01,7.786772934947262803e-02,1.686246409107517719e-01,-5.042397947380201223e-02,-5.316537787268889315e-02,4.383651580659737867e-02,-4.711105284562247530e-02,5.401492212302477086e-02,7.565517456688937437e-03,-1.856795946037766154e-02,3.622279421815532280e-02,,,,,,,,,
9.817954357356059591e-02,1.424737553475869112e-01,-2.428672955897868621e-02,-6.470623142146462135e-03,8.653530412238157055e-02,5.032301155871623383e-02,-4.070885376309404252e-02,-3.940708795326608449e-02,2.800891543283704280e-02,-2.085020736261996785e-02,6.607739468416555517e-02,9.069592417088954972e-02,,,,,,,,
1.068930496401163527e-01,-4.701590860674203197e-03,6.245606080257742193e-03,-1.943363847701884070e-02,-3.853629859998553009e-02,3.659529028645206600e-02,5.561886035186995592e-02,2.207377388067246204e-01,-1.813171672598078848e-02,-9.796172713213143618e-03,-2.104033851156296431e-02,9.190450105022117053e-03,-4.833473105685583832e-02,,,,,,,
9.265122202872182189e-02,2.025366869965094727e-02,9.926214523778421894e-02,1.531097278063153592e-02,2.245097671526934818e-02,8.683726005387923386e-02,-8.586665744541401024e-03,9.672954590329856106e-02,9.586192138394143691e-02,5.868978657284162209e-02,7.038541096093517413e-03,1.044441223921504236e-01,1.075392457424060796e-02,9.236974509261509925e-02,,,,,,
5.456819412750087833e-02,5.490764701132772735e-02,-5.756416302349637304e-02,8.014406695159356775e-02,-5.006909788625495128e-02,5.264361222187351197e-02,-1.953983415849694025e-02,7.842072494134535998e-02,-6.504027830152829537e-02,1.701322921997393267e-02,5.218494086473650373e-02,4.816301023167491625e-03,1.319980722085619708e-02,3.817970094276965098e-02,4.712718421732790125e-02,,,,,
7.677437777218547310e-02,5.101019938538661064e-02,-2.796370875970208975e-02,-1.083857793182761882e-02,1.040724822706993596e-01,4.321849437801576072e-02,-4.377874755051946315e-02,-8.611153982542548921e-03,5.341001524436419373e-02,-1.446726593867370472e-02,3.610167409614884609e-02,4.825517178930274764e-02,1.138457102183099701e-01,-1.736263792934572212e-02,4.274508563562864905e-02,1.002165699120993736e-01,,,,
1.497237527370911814e-01,-5.627664973261570225e-02,2.006087697507206447e-01,-5.477680885612274536e-02,-2.320943836163723989e-02,1.201739623702283329e-02,4.503164392013918327e-03,7.041818297234235524e-02,7.604661868114274970e-02,2.139789945216077349e-01,-4.366247573647266678e-02,2.401435465152616799e-02,-5.727053005026312704e-02,2.765139969133778922e-02,1.042674765758422328e-01,-2.141146633220339379e-02,-4.668482071137024930e-02,,,
3.246986325083757105e-03,1.027787194934911136e-01,-6.376073948634744526e-02,-6.631378872471278829e-02,-3.596578588701344198e-02,-3.544687952198335296e-02,3.561477587019652030e-02,-1.272068807322630085e-02,-3.151794850070296222e-02,-4.450631645823490551e-02,3.949834568794461515e-02,-6.375577215002468934e-02,3.662386931610427110e-02,-2.438236292049888315e-02,1.629840789484622446e-03,-1.046385065239887474e-02,1.653427887433249477e-02,-4.634782387446062524e-02,,
-1.090407452422873097e-01,-2.506106410592075576e-02,4.667532872878855238e-02,1.668681741918342232e-01,-1.889118840611378860e-03,5.598294569314036379e-02,1.594749408106364147e-03,-3.203483462758073552e-02,3.515290093646051411e-02,7.922603269705751072e-02,-3.299680875660544049e-02,-1.754252022248410647e-02,-1.931163699958409613e-02,-2.152907211616317262e-02,3.313416758907126308e-02,4.008652741792212426e-02,-4.061789489076136211e-02,-3.955765191110529461e-02,-4.874536651603548348e-02,
