ingredient,frequency
salt,0.38336102608949135
sugar,0.3242792595831511
water,0.29630083078268477
citric acid,0.15327211776708935
corn syrup,0.10037020842442793
natural flavor,0.08085118787348783
sea salt,0.07628042559393675
spices,0.07163970266724967
high fructose corn syrup,0.05984550357090803
natural flavors,0.05869115289316426
dextrose,0.057839965019676434
soybean oil,0.05593936743914881
soy lecithin,0.05315260166156537
garlic,0.05022591458970996
xanthan gum,0.05012680367293398
maltodextrin,0.04657630083078269
whey,0.040425593936743914
vinegar,0.039376184229704125
vegetable oil,0.038326774522664336
ascorbic acid,0.03576738084827285
caramel color,0.035032794053344994
yeast,0.034782101734441045
guar gum,0.0330039352864014
corn starch,0.03188456493222562
cream,0.031581402127969685
yellow,0.03084098527911383
modified corn starch,0.030724384200553855
wheat flour,0.030292960209881942
garlic powder,0.030129718699897973
folic acid,0.029680804547442066
riboflavin,0.029430112228538113
onion powder,0.02925521061069815
natural and artificial flavors,0.029074478938930184
modified food starch,0.028864596997522227
canola oil,0.02813584025652237
palm oil,0.02808919982509838
onion,0.028007579070106398
red,0.027541174755866493
carrageenan,0.027465384054802505
honey,0.02724384200553855
sodium citrate,0.027179711412330564
niacin,0.027138901034834573
enzymes,0.026789097799154643
brown sugar,0.025687217606762864
butter,0.025663897391050867
cane sugar,0.024742748870427052
milk,0.02471359860078706
lactic acid,0.02378662002623524
artificial flavor,0.02304037312345139
potassium sorbate,0.022673079725987467
